ETS-ID,City,Name,Net electrical power [MW_el],Heat power [MW_th],CHP,Fuel,Thermal fuel emission factor [t/MWh_th],Sigma,Emission factor avg. [t/MWh_el],Utilization ratio avg. [MWh_el/MWh_th],Generation elec. avg. [MWh_el],Generation elec. min [MWh_el],Generation elec. max [MWh_el],Emissions avg. [t],Emissions min. [t],Emissions max. [t],Electricity share of total emissions,Heat share of total emissions
1399,Bergkamen,Bergkamen,717,20.000,False,hard coal,0.337,,,,1484283.000,374569.000,2796586.000,1420285.714,348234.000,2823880.000,,
1453,Boxberg,Boxberg,1000,60.000,True,lignite,0.398,0.000,1.179,2.363,6700733.143,5606519.000,7557272.000,7920716.571,6648578.000,8874695.000,0.997,0.003
1454,Boxberg,Boxberg,1470,65.000,True,lignite,0.398,0.000,1.042,2.673,9584390.714,8223451.000,10568909.000,9994754.000,8559191.000,11131400.000,1.000,0.000
1460,Boehlen,Lippendorf,1782,460.000,True,lignite,0.372,0.000,0.945,2.753,10927396.714,8375104.000,12131037.000,10578256.857,8272543.000,11911240.000,0.976,0.024
795,Burghausen,Burghausen,120,350.000,True,NG,0.201,1.000,inf,0.000,0.000,0.000,0.000,605513.571,521038.000,688971.000,0.324,0.676
1419,Helmstedt,Buschhaus,352,0.000,False,lignite,0.358,0.000,1.052,2.384,244327.000,0.000,1710289.000,256953.714,0.000,1798498.000,1.000,0.000
1409,Herdecke,Cuno HKW Herdecke,424,0.000,True,NG,0.201,0.001,0.380,3.701,817102.803,429315.983,1358468.641,319585.857,182013.000,532144.000,0.972,0.028
208968,Datteln,Datteln,1052,380.000,True,hard coal,0.337,,,,1084630.575,0.000,3027713.641,1399402.286,0.000,3823696.000,,
1485,Dormagen,Dormagen,586,480.000,True,NG,0.201,0.937,1.039,1.354,763731.857,389290.000,1290593.000,1203686.000,973948.000,1585620.000,0.659,0.341
1411,Hamborn,Duisburg-Hamborn,100,0.000,True,BFG,0.932,1.000,4.358,1.497,404872.076,169801.000,509936.000,1907229.857,1481644.000,2070524.000,0.925,0.075
1850,Hamborn,Duisburg-Hamborn,225,150.000,True,BFG,0.932,,,,1241672.860,1031344.000,1498911.000,2580690.714,2066398.000,3143109.000,,
1174,Duisburg,HKW Wanheim,234,167.000,True,NG,0.201,0.000,0.323,4.357,894272.286,543233.000,1144335.000,424976.000,260805.000,516350.000,0.679,0.321
1415,Duisburg,Duisburg-Ruhrort,165,0.000,True,BFG,0.932,1.000,4.141,1.575,746094.827,206590.000,1034637.000,3093636.571,2214436.000,4396101.000,0.999,0.001
1479,Lingen,Emsland,1820,124.000,True,NG,0.201,1.000,0.379,3.712,4087404.714,3044703.000,5232317.000,1626044.571,1184094.000,2120000.000,0.953,0.047
969,Wilhelmshaven,Wilhelmshaven (Uniper),757,0.000,False,hard coal,0.337,0.004,0.923,2.553,1117431.363,0.000,2974443.000,1032955.857,4418.000,2811433.000,0.999,0.001
1446,Nuernberg,Franken I,823,1110.000,True,NG,0.201,,,,222480.714,152501.000,434355.000,123096.571,87777.000,227471.000,,
1605,Grevenbroich-Frimmersdorf,Frimmersdorf,580,30.000,False,lignite,0.407,0.000,1.476,1.932,762987.000,0.000,2718916.000,1133812.857,0.000,4353370.000,0.993,0.007
1207,Vohburg,Irsching,1261,25.000,False,mixed,,0.001,,,777084.714,17269.000,2404087.000,291998.143,13782.000,854657.000,,
4148,Vohburg,Irsching,561,0.000,False,NG,0.201,0.000,,,483032.429,4199.000,1783315.000,189642.286,2209.000,610943.000,,
1210,Kiel,Kiel (Gemeinschaftskraftwerk),323,192.000,True,hard coal,0.337,0.000,0.883,2.669,527828.286,0.000,1159302.000,570836.857,0.000,1251101.000,0.817,0.183
1481,Werne,Gersteinwerk,1948,0.000,False,mixed,,,,,1033325.571,7827.000,2942137.000,43553.857,1305.000,147834.000,,
1387,Hannover,Stoecken (GKH),272,426.000,True,hard coal,0.337,0.079,0.947,2.491,1317421.714,891258.000,1564587.000,1458289.143,1057616.000,1697240.000,0.855,0.145
1450,Altbach,HKW Altbach-Deizisau,769,560.000,True,hard coal,0.337,0.128,21.036,0.112,55035.000,0.000,385245.000,1269086.286,722621.000,1919622.000,0.912,0.088
739,Dresden,HKW Dresden Nossener Bruecke,260,455.000,True,NG,0.201,0.000,0.221,6.365,1383154.000,1124560.000,1478782.000,720782.714,616282.000,770563.000,0.424,0.576
1452,Heilbronn,HKW Heilbronn,778,550.000,True,hard coal,0.337,0.117,0.974,2.422,1909331.286,500508.000,2860319.000,1928059.714,637633.000,2712379.000,0.964,0.036
1095,Duesseldorf,Lausward,995,375.000,True,NG,0.201,0.000,0.308,4.570,2998966.429,2382175.000,3856165.000,1107673.571,915963.000,1377984.000,0.834,0.166
